id;idp_code;name;address;phone_number
1;Assistant;Generic heuristic;program orchid Investment Account;Security
2;Team-oriented;pricing structure;mission-critical auxiliary;functionalities
3;sky blue Consultant Malta;alarm Licensed Rubber Bacon;Chile dedicated;users
4;mobile azure Soft;Implementation JBOD;Gorgeous Uzbekistan Sum;artificial intelligence
5;bypass Awesome Steel Tuna Spurs;Specialist copying;protocol;quantifying Handmade
6;violet Compatible primary;Credit Card Account;Algerian Dinar;Accounts Falkland Islands Pound
7;calculate initiatives Electronics;Cheese benchmark quantifying;Games invoice Pine;Nevada connect Handcrafted
8;FTP Rustic;Re-engineered;Refined Hat Hat;Central African Republic Georgia
9;Robust ivory Ports;Future;transmitting Home Loan Account;Handcrafted Metrics
10;Shirt Liaison;overriding Rustic Cotton Table;approach maroon Branding;Via
