id;no_of_product;date;amount;unit_cost;product_name;status
1;99649;2020-06-24T19:25:29;91474;59236;Shoes AGP override;true
2;51901;2020-06-24T12:42:02;357;51064;moderator Colorado artificial intelligence;false
3;34228;2020-06-24T18:45:21;89686;65957;Sudanese Pound Borders archive;false
4;66137;2020-06-24T16:12:23;50352;5479;withdrawal Pants;true
5;12799;2020-06-25T04:03:32;15914;75546;Rwanda lavender Ecuador;false
6;57666;2020-06-24T12:13:01;91314;24972;deposit;true
7;54185;2020-06-24T06:50:32;91604;97220;virtual;true
8;45702;2020-06-25T04:54:12;77968;51962;Kansas Designer Exclusive;false
9;17221;2020-06-24T15:06:25;72745;71858;alliance Developer;true
10;95953;2020-06-24T23:03:14;98037;21042;end-to-end executive Courts;false
